Time Elapsed,00:23.1
QNumS:4 Input Value:2,
Time Elapsed,00:29.0
QNumS:5 Input Value:5,
Time Elapsed,00:32.4
QNumS:6 Input Value:4,
Time Elapsed,00:37.7
QNumS:7 Input Value:5,
Time Elapsed,00:44.3
QNumS:8 Input Value:5,
Time Elapsed,00:48.6
QNumS:9 Input Value:5,
Time Elapsed,00:55.8
QNumS:9 Input Value:5,
Time Elapsed,00:55.8
7/26/2017 10:38,7/26/2017 10:39
PARTICIPANT8,
NodeGraphfalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,04:11.3
QNumT:1 Input Value:300 2006,
Time Elapsed,07:27.6
QNumT:2 Input Value:Avengers: Age of Ultron 2015,
Time Elapsed,07:33.8
QNumT:3 Input Value:Kingsman: The Secret Service 2015,
Time Elapsed,09:22.2
QNumT:4 Input Value:Avengers 2012Kingsman: The Secret Service 2015Batman Begins 2005,
Time Elapsed,31:20.2
QNumS:0 Input Value:4,
Time Elapsed,00:09.3
QNumS:1 Input Value:4,
Time Elapsed,00:15.8
QNumS:2 Input Value:4,
Time Elapsed,00:21.8
QNumS:3 Input Value:5,
Time Elapsed,00:31.8
QNumS:4 Input Value:3,
Time Elapsed,00:39.6
QNumS:5 Input Value:6,
Time Elapsed,00:47.1
QNumS:6 Input Value:4,
Time Elapsed,00:52.1
QNumS:7 Input Value:4,
Time Elapsed,00:56.8
QNumS:8 Input Value:3,
Time Elapsed,01:04.8
QNumS:9 Input Value:5,
Time Elapsed,01:10.8
QNumS:9 Input Value:5,
Time Elapsed,01:10.8
7/26/2017 12:48,7/26/2017 12:49
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:31.1
QNumT:1 Input Value:Movie: Avengers: Age of Ultron (2015),
Time Elapsed,04:30.5
QNumT:2 Input Value:Movie: Mystery Men (1999)Movie: From Hell (2001)Movie: Punisher (1989)Movie: Howard the Duck (1986)Movie: League of Extraordinary Gentlemen (2003)Movie: Watchmen (2009),
Time Elapsed,09:12.7
QNumT:3 Input Value:Movie: The Dark Knight Rises (2012),
Time Elapsed,11:23.3
QNumT:4 Input Value:Movie: The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Kingsman: The Secret Service (2015)Movie: Captain America: the First Avenger (2011),
Time Elapsed,13:25.7
QNumS:0 Input Value:5,
Time Elapsed,00:13.0
QNumS:1 Input Value:3,
Time Elapsed,00:19.4
QNumS:2 Input Value:4,
Time Elapsed,00:35.4
QNumS:3 Input Value:6,
Time Elapsed,00:39.5
QNumS:4 Input Value:2,
Time Elapsed,00:48.1
QNumS:5 Input Value:6,
Time Elapsed,00:51.9
QNumS:6 Input Value:5,
Time Elapsed,00:58.0
QNumS:7 Input Value:5,
Time Elapsed,01:05.4
QNumS:8 Input Value:5,
Time Elapsed,01:08.9
QNumS:9 Input Value:5,
Time Elapsed,01:14.2
QNumS:9 Input Value:5,
Time Elapsed,01:14.2
7/26/2017 13:06,7/26/2017 13:07
PARTICIPANT9,
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:09.2
QNumT:1 Input Value:Movie: Iron Man (2008),
Time Elapsed,04:43.0
QNumT:2 Input Value:Movie: Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003)Movie: From Hell (2001),
Time Elapsed,09:05.1
QNumT:3 Input Value:Movie: Men In Black 2 (2002),
Time Elapsed,11:43.0
QNumT:4 Input Value:Movie: Wanted (2008),
Time Elapsed,16:47.9
QNumS:0 Input Value:3,
Time Elapsed,00:29.0
QNumS:1 Input Value:1,
Time Elapsed,00:37.1
QNumS:2 Input Value:4,
Time Elapsed,00:46.5
QNumS:3 Input Value:4,
Time Elapsed,00:54.8
QNumS:4 Input Value:4,
Time Elapsed,01:05.7
QNumS:5 Input Value:5,
Time Elapsed,01:12.2
QNumS:6 Input Value:4,
Time Elapsed,01:20.5
QNumS:7 Input Value:4,
Time Elapsed,01:32.3
QNumS:8 Input Value:4,
Time Elapsed,01:51.0
QNumS:9 Input Value:5,
Time Elapsed,02:03.3
QNumS:9 Input Value:5,
Time Elapsed,02:03.3
7/26/2017 14:38,7/26/2017 14:40
NodeGraphtrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,02:49.8
QNumT:1 Input Value:Avengers: Age of Ultron 2015,
Time Elapsed,04:18.5
QNumT:2 Input Value:League of Extraordinary Gentlemen 2003From Hell 2001Punisher 1989,
Time Elapsed,06:35.6
QNumT:3 Input Value:Iron Man 2 2010,
Time Elapsed,08:26.5
QNumT:4 Input Value:Red 2010,
Time Elapsed,14:52.8
QNumS:0 Input Value:2,
Time Elapsed,00:15.9
QNumS:1 Input Value:1,
Time Elapsed,00:25.7
QNumS:2 Input Value:2,
Time Elapsed,00:42.0
QNumS:3 Input Value:3,
Time Elapsed,00:54.7
QNumS:4 Input Value:4,
Time Elapsed,01:00.6
QNumS:5 Input Value:5,
Time Elapsed,01:09.8
QNumS:6 Input Value:3,
Time Elapsed,01:18.3
QNumS:7 Input Value:2,
